id,date,time,location,event_type,nature,narrative
20153,2024-10-12,06:55,"SAINT PETERSBURG, FLORIDA",Fall on same level due to slip or trip,Traumatic injuries or exposures  unspecified,"An employee was walking in the office when she tripped and fell, resulting in a hip injury. The employee was hospitalized."
20154,2024-10-12,14:10,"GREEN BAY, WISCONSIN",Struck by running powered equipment  n.e.c.,"Amputations, avulsions, enucleations  unspecified","An employee was cutting the rear quarter panel window on an SUV in a parking lot utilizing a non-powered glass cutter and a powered drill. The employee's finger was between the slack line and the window when the line tightened, causing the amputation of their right ring fingertip."
20155,2024-10-13,10:34,"BATON ROUGE, LOUISIANA","Contact with other person, nonviolent or intent unknown  n.e.c.",Fractures,"The injured employee collided with another person in a hallway. The employee fell backward, landing on the floor and suffering a broken left humerus."
20156,2024-10-14,05:21,"HANNIBAL, MISSOURI",Contact incidents  unspecified,"Amputations, avulsions, enucleations  unspecified","An employee was reinstalling a track on a bulldozer. A chain had been used to position the track; with the track in position, the power had been shut off and the track had been secured with a block. As the employee was preparing to correct a slight misalignment using a pry bar, he took hold of the…"
20157,2024-10-18,00:17,"DALLAS, TEXAS",Contact with hot objects or substances,Thermal burns  degree unspecified,"An employee was removing boiling water from the stovetop when they dropped it and the water spilled onto their lower body, resulting in burns."
20158,2024-10-18,15:14,"ROCKFORD, ILLINOIS","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee was bending metal in a brake press when the press amputated their right thumb.
20159,2024-10-19,12:33,"DESTREHAN, LOUISIANA",Struck by other falling object  n.e.c.,"Cuts, lacerations, punctures without injury to internal structures","An employee was installing steel siding when a piece became stuck and the rigging was pulled from the siding. A panel of the siding (approximately 28"" x 12' and 28 pounds) then fell and struck them in the right arm, resulting in a laceration to the right bicep and brachial artery."
20160,2024-10-20,02:57,"NORTH LITTLE ROCK, ARKANSAS",Struck by other falling object  n.e.c.,Fractures,"Employees were loading a switchgear cabinet into an elevated room with a telehandler when the cabinet started wobbling/swaying. The cabinet fell from the forks of the telehandler and struck an employee that was spotting for the telehandler, resulting in three fractured ribs, a fractured pelvis, and…"
20161,2024-10-20,12:59,"WESLEY CHAPEL, FLORIDA",Struck by dislodged or detached object(s),"Cuts, lacerations, punctures without injury to internal structures","An employee was cutting a pipe with a circular saw when the pipe pinched the blade and the blade shattered. A projectile from the blade struck the employee in the neck, lacerating him from the Adam's apple around to the ear."
20162,2024-10-21,07:25,"MILLEN, GEORGIA",Struck by running powered equipment  unspecified,"Cuts, lacerations, punctures without injury to internal structures",An employee was using a miter saw to install molding during construction of a new mobile home and sustained severe lacerations to their right arm and hand.
20163,2024-10-21,09:30,"BECKLEY, WEST VIRGINIA",Overexertion while providing medical or custodial care,Fractures,"An employee was lifting a patient weighing approximately 400 lbs. and fractured their L5 vertebra, requiring hospitalization."
20164,2024-10-21,09:46,"HAMPSHIRE, ILLINOIS","Struck by running powered equipment  during maintenance, cleaning, testing",Amputations involving bone loss,"An employee was testing the tension of a belt on a capping machine when his finger got pushed into the drive wheel, severing a portion of the finger above the fingernail. The employee sustained a partial amputation to his left middle finger from the first knuckle."
20165,2024-10-25,20:44,"VANDALIA, OHIO",Fall on same level  unspecified,Fractures,"An employee was walking at the front of the store when they fell, resulting in a hip fracture that required hospitalization."
20166,2024-10-28,19:51,"EVANS, GEORGIA","Struck by running powered equipment  irregular movement, kick back","Amputations, avulsions, enucleations  unspecified","An employee was using a chipping hammer to remove asphalt from around a manhole cover. The hammer got stuck and an excavator operator attempted to remove the hammer using an excavator bucket. The employee reached down to help when the hammer engaged, causing the bucket to jump and pin the employee'…"
20167,2024-10-29,02:18,"EASTLAKE, OHIO",Contact incidents  unspecified,"Amputations, avulsions, enucleations  unspecified","An employee was operating a wax die injection machine with the top of the die open. When the safety kickstand was released, the wax die mold's lid lowered onto their left index finger, resulting in a fingertip amputation."
20168,2024-10-30,13:42,"URBANA, ILLINOIS",Other fall to lower level  unspecified,Fractures,An employee was using a cart with a short ladder on it to retrieve ornaments from the top shelf. The employee was descending the ladder when she missed a step and fell to the floor on her right side. The employee was hospitalized with a fractured femur.
20169,2024-11-01,01:05,"HAZELTON, IDAHO",Nonroadway noncollision  vehicle overturn,"Cuts, lacerations, punctures without injury to internal structures","An employee was driving a dump truck loaded with dirt on a canal bank when the truck tipped over, and objects inside of the truck caused lacerations to his head."
20170,2024-11-04,17:57,"MECHANICSBURG, PENNSYLVANIA",Fall on same level due to slip or trip,Fractures and soft tissue injuries,"An employee was walking on wood matting and fell, resulting in a fractured and dislocated left foot."
20171,2024-11-06,13:45,"BROOKSVILLE, FLORIDA","Struck by falling part of vehicle or machine, still attached","Amputations, avulsions, enucleations  unspecified","An employee was lifting the hood of a tractor to jumpstart the battery when his hand slipped and the hood fell and struck his left hand, resulting in a partial amputation of the little finger."
20172,2024-11-07,07:05,"SECAUCUS, NEW JERSEY",Fall on same level  unspecified,Fractures,"An employee fell to the floor, resulting in fractured legs."
20173,2024-11-07,12:20,"BARTLETT, TEXAS",Struck by other propelled object or substance  n.e.c.,Traumatic injuries or exposures  unspecified,"Mulching equipment was being used to clear tall vegetation at a job site when the equipment encountered hidden wire in the brush. The wire entered the equipment and was projected out of it approximately 300 feet, striking the injured employee's left leg and resulting in an injury."
20174,2024-11-09,20:54,"MYRTLE BEACH, SOUTH CAROLINA",Struck by suspended or swinging objects  n.e.c.,"Amputations, avulsions, enucleations  unspecified",An employee was on the bed of a digger truck assisting the operator with moving a 30-foot pole from the rack on the digger truck to a dumpster for disposal. The employee placed a strap around the pole and attached it to the boom of the digger truck before guiding the pole to the dumpster. As the po…
20175,2024-11-11,00:33,"SCHENECTADY, NEW YORK",Other fall to lower level  unspecified,Fractures,"An employee was entering a basement window when they fell to the basement floor, breaking their elbow."
20176,2024-11-13,12:02,"ORLANDO, FLORIDA",Caught or wedged between objects  nonrunning,Fractures,"An employee was installing shelving. As they were sliding a metal pipe into the wooden shelving unit, the employee's hand was caught between the shelf support and the end of the pipe, resulting in a right index and middle finger fracture."
20177,2024-11-13,14:13,"BRIGHTON, COLORADO",Other fall to lower level  less than 6 feet,Pinched nerve,An employee was hooking a trailer to his tractor when he stepped off the back of the truck and fell 3 feet to the ground. He landed on his back and sustained pinched nerves in his lower back.
20178,2024-11-16,06:02,"PUNTA GORDA, FLORIDA",Overexertion while materials moving by hand,"Sprains, strains, minor tears",An employee was attempting to move a portable heater and strained her back. The employee was hospitalized.
20179,2024-11-24,19:15,"PILESGROVE, NEW JERSEY",Other fall to lower level  unspecified,Traumatic injuries or exposures  unspecified,An employee was working from a ladder to place items on a shelf when they fell off the ladder and sustained a right hip injury.
20180,2024-11-26,08:54,"DENVER, COLORADO","Non-venomous animal bites  except ""bugs""","Cuts, lacerations, punctures without injury to internal structures",An veterinarian was working on a sedated dog when the dog woke up and bit their face.
